and;a
non-ceramic;nieceramiczne
non-ceramic;nieceramicznej
non-ceramic;nieceramiczny
let;niech
uncharacteristic;niecharakterystyczna
uncharacteristic;niecharakterystyczn¹
uncharacteristic;niecharakterystyczne
uncharacteristic;niecharakterystycznego
the non-specific;niecharakterystycznej
uncharacteristic;niecharakterystyczni
uncharacteristic;niecharakterystycznie
nonspecific;niecharakterystyczny
nonspecific;niecharakterystycznych
uncharacteristic;niecharakterystycznym
uncharacteristic;niecharakterystycznymi
unwittingly;niechc¹cy
unwilling;niechc¹cych
casually;niechcenia
inadvertently;niechcenie
casually;niechceniem
unwanted;niechciana
unwanted;niechcian¹
unwanted;niechciane
unwanted;niechcianego
junk;niechcianej
unwanted;niechcianemu
unwanted;niechciani
unwanted;niechciany
unwanted;niechcianych
unwanted;niechcianym
unwanted;niechcianymi
non-chemical;niechemiczna
non-chemical;niechemiczn¹
non-chemical;niechemiczne
non-chemical;niechemicznego
non-chemical;niechemicznej
non chemically;niechemiczni
non chemically;niechemicznie
chemical-free;niechemiczny
non-chemical;niechemicznych
non-chemical;niechemicznym
non-chemical;niechemicznymi
resentment;niechêci
dislikes;niechêciami
reluctantly;niechêci¹
reluctance;niechêæ
unwilling;niechêtna
grudging;niechêtn¹
unwilling;niechêtne
reluctant;niechêtnego
unwilling;niechêtnej
unfriendly;niechêtnemu
unwilling;niechêtni
reluctantly;niechêtnie
reluctant;niechêtny
unwilling;niechêtnych
unwilling;niechêtnym
unwilling;niechêtnymi
non-Chinese;niechiñskich
non-surgical;niechirurgiczna
non-surgical;niechirurgiczn¹
nonsurgical;niechirurgiczne
Non-Surgical;niechirurgicznego
non-surgical;niechirurgicznej
non-surgical;niechirurgiczny
nonsurgical;niechirurgicznych
non-surgical;niechirurgicznym
non-surgical;niechirurgicznymi
slovenly;niechlujna
sloppy;niechlujn¹
messy;niechlujne
slovenly;niechlujnego
slovenly;niechlujnej
sloppy;niechlujni
slovenly;niechlujnie
messy;niechlujny
slovenly;niechlujnych
slovenly;niechlujnym
messy;niechlujnymi
uncooled;niech³odzona
uncooled;niech³odzon¹
uncooled;niech³odzone
uncooled;niech³odzonego
uncooled;niech³odzonej
uncooled;niech³odzony
uncooled;niech³odzonych
uncooled;niech³odzonym
non-ambulatory;niechodz¹cych
niechodze;niechodzenie
nonconverters;niechoruj¹ca
nonconverters;niechoruj¹c¹
nonconverters;niechoruj¹ce
nonconverters;niechoruj¹cej
nonautistic;niechoruj¹cych
without diabetes;niechoruj¹cymi
reared in;niechowana
reared in;niechowan¹
reared in;niechowane
reared in;niechowani
reared in;niechowanie
reared in;niechowany
unprotected;niechronieni
Vulnerable;niechronienia
Vulnerable;niechronieniem
unprotected;niechroniona
unprotected;niechronion¹
unprotected;niechronione
unprotected;niechronionego
unprotected;niechronionej
unprotected;niechroniony
unprotected;niechronionych
unprotected;niechronionym
unprotected;niechronionymi
non-christened;niechrzczonych
non-Christian;niechrzeœcijañscy
non-Christian;niechrzeœcijañska
unchristian;niechrzeœcijañsk¹
unchristian;niechrzeœcijañski
non-Christian;niechrzeœcijañskich
unchristian;niechrzeœcijañskie
non-Christian;niechrzeœcijañskiego
non-Christian;niechrzeœcijañskiej
non-Christian;niechrzeœcijañskiemu
non-Christian;niechrzeœcijañskim
non-Christian;niechrzeœcijañskimi
implicitly;niechwiejni
implicitly;niechwiejnie
discontinuous;nieci¹gle
discontinuous;nieci¹g³a
discontinuous;nieci¹g³¹
discontinuous;nieci¹g³e
discontinuous;nieci¹g³ego
discontinuous;nieci¹g³ej
discontinuous;nieci¹g³emu
discontinuous;nieci¹g³y
discontinuous;nieci¹g³ych
discontinuous;nieci¹g³ym
discontinuous;nieci¹g³ymi
undrawn;nieci¹gniona
undrawn;nieci¹gnion¹
undrawn;nieci¹gnione
undrawn;nieci¹gnionej
Nieciecz;niecieczenie
unexciting;nieciekaw
uninteresting;nieciekawa
uninteresting;nieciekaw¹
unexciting;nieciekawe
dull;nieciekawego
unexciting;nieciekawej
uninteresting;nieciekawi
dull;nieciekawie
dull;nieciekawy
uninteresting;nieciekawych
dull;nieciekawym
uninteresting;nieciekawymi
fluidal;nieciek³a
fluidal;nieciek³¹
fluidal;nieciek³e
non-liquid;nieciek³ej
non-liquid;nieciek³ych
leakproof;nieciekn¹ca
leakproof;nieciekn¹c¹
leakproof;nieciekn¹ce
leakproof;nieciekn¹cej
leakfree;nieciekn¹cy
incorporeal;niecielesna
corporeal;niecielesn¹
incorporeal;niecielesne
incorporeal;niecielesnego
corporeal;niecielesnej
incorporeal;niecielesny
corporeal;niecielesnych
I hate;niecierpiana
I hate;niecierpian¹
I hate;niecierpiane
I hate;niecierpiani
detested;niecierpiany
urgent;niecierpi¹cych
I hate;niecierpienie
impatiens;niecierpka
impatiens;niecierpk¹
impatiens;niecierpki
impatiens;niecierpkie
impatiens;niecierpkiej
impatient;niecierpliwa
impatient;niecierpliw¹
impatient;niecierpliwe
impatient;niecierpliwego
impatient;niecierpliwej
impatient;niecierpliwemu
impatient;niecierpliwi
impatiently;niecierpliwie
impatience;niecierpliwoœci
eagerly;niecierpliwoœci¹
impatience;niecierpliwoœæ
impatient;niecierpliwy
impatient;niecierpliwych
impatient;niecierpliwym
impatient;niecierpliwymi
discontinuous;nieciêcie
Nieciece;nieciêæ
Not cut;nieciêta
Not cut;nieciêt¹
not cut;nieciête
uncut;nieciêtego
Not cut;nieciêtej
uncut;nieciêty
uncut;nieciêtych
nonpregnant;nieciê¿arna
nonpregnant;nieciê¿arn¹
nonpregnant;nieciê¿arne
nonpregnant;nieciê¿arnej
nonpregnant;nieciê¿arnych
little;nieco
unusual;niecodzienna
unusual;niecodzienn¹
unusual;niecodzienne
unusual;niecodziennego
unusual;niecodziennej
unlikely appearances;niecodzienni
not everyday;niecodziennie
unusual;niecodzienny
unusual;niecodziennych
unusual;niecodziennym
unusual;niecodziennymi
revoke the;niecofaniu
Nonsugar;niecukrowa
Nonsugar;niecukrow¹
non-sugar;niecukrowe
Nonsugar;niecukrowej
non-sugar;niecukrowy
non-sugar;niecukrowych
non-sugar derived;niecukrowym
non-digital;niecyfrowych
non-cyclic;niecykliczna
non-cyclic;niecykliczn¹
acyclic;niecykliczne
acyclic;niecyklicznego
acyclic;niecyklicznej
acyclically;niecykliczni
acyclically;niecyklicznie
non-cyclic;niecykliczny
non-cyclical;niecyklicznych
non-cyclical;niecyklicznym
non-cyclic;niecyklicznymi
non-cylindrical shell;niecylindryczna
non-cylindrical shell;niecylindryczn¹
non-cylindrical shell;niecylindryczne
non-cylindrical shell;niecylindrycznej
non-cylindrical;niecylindryczny
non-cylindrical;niecylindrycznym
cylindrical faces;niecylindrycznymi
unescaped;niecytowana
unquoted;niecytowan¹
unquoted;niecytowane
unquoted;niecytowani
unquoted;niecytowanie
unquoted;niecytowany
unquoted;niecytowanych
unquoted;niecytowanym
unquoted;niecytowanymi
non-civil;niecywilna
non-civil;niecywiln¹
non-civil;niecywilne
non-civil;niecywilnej
non-black;nieczarna
non-black;nieczarn¹
non-black;nieczarne
non-black;nieczarnej
non-black;nieczarny
unglamorous;nieczaruj¹cy
A non-time;nieczasowy
without waiting;nieczekaj¹ca
without waiting;nieczekaj¹c¹
without waiting;nieczekaj¹ce
without waiting;nieczekaj¹cej
combed;nieczesana
combed;nieczesan¹
combed;nieczesane
combed;nieczesanej
combed;nieczesani
combed;nieczesanie
combed;nieczesany
combed;nieczesanych
combed;nieczesañ
infrequent;nieczêsta
the rare;nieczêst¹
infrequent;nieczêste
infrequent;nieczêstego
infrequent;nieczêstej
not often;nieczêsto
infrequent;nieczêsty
infrequent;nieczêstych
infrequent;nieczêstym
infrequent;nieczêstymi
non-member;niecz³onkowski
non-member;niecz³onkowskich
non-member;niecz³onkowskie
non-member;niecz³onkowskiego
non-member;niecz³onkowskiej
non-member;niecz³onkowskim
non-member;niecz³onkowskimi
The non leading engine;nieczo³owa
The non leading engine;nieczo³ow¹
The non leading engine;nieczo³owe
non leading engine;nieczo³owej
not feel;nieczuæ
that feels;nieczuj¹cym
imprudent;nieczujny
Not sensitive;nieczule
heartless;nieczuli
insensitive;nieczu³a
unfeeling;nieczu³¹
insensitive;nieczu³e
unfeeling;nieczu³ego
impervious;nieczu³ej
insensitive;nieczu³y
insensitive;nieczu³ych
heartless;nieczu³ym
insensitive;nieczu³ymi
disarmed;nieczuwaj¹ca
disarmed;nieczuwaj¹c¹
disarmed;nieczuwaj¹ce
disarmed;nieczuwaj¹cej
disarmed;nieczuwaj¹cych
making no;nieczyni¹cym
not doing;nieczynienie
morter;nieczyniona
morter;nieczynion¹
morter;nieczynione
morter;nieczynionej
closed;nieczynna
inactive;nieczynn¹
closed;nieczynne
inactive;nieczynnego
abandoned;nieczynnej
closed;nieczynny
inactive;nieczynnych
inactive;nieczynnym
inactive;nieczynnymi
unclean;nieczysta
unclean;nieczyst¹
unclean;nieczyste
unclean;nieczystego
unclean;nieczystej
unclean;nieczystemu
out of tune;nieczysto
dirty;nieczysty
unclean;nieczystych
unclean;nieczystym
unclean;nieczystymi
impurities;nieczyszczeni
impurities;nieczyszczenia
Polluted;nieczyszczenie
impurity present;nieczyszczeniem
dirt particles;nieczyszczeniom
impurities;nieczyszczeñ
uncleaned;nieczyszczona
The impure;nieczyszczon¹
Unrefined;nieczyszczone
unpurified;nieczyszczonego
a crude;nieczyszczonej
Unrefined;nieczyszczony
unpurified;nieczyszczonych
unclean;nieczyœci
not read;nieczytaj¹cych
Unread;nieczytana
Unread;nieczytan¹
Unread;nieczytane
unread;nieczytanego
unread;nieczytanej
Unread;nieczytani
not read;nieczytanie
Unread;nieczytany
unread;nieczytanych
unread;nieczytañ
unreadable;nieczytelna
illegible;nieczyteln¹
unreadable;nieczytelne
illegible;nieczytelnego
illegible;nieczytelnej
unintelligible;nieczytelni
illegibly;nieczytelnie
illegible;nieczytelny
unreadable;nieczytelnych
illegible;nieczytelnym
unreadable;nieczytelnymi
undeterminable;niedaj¹ca
defying;niedaj¹c¹
that could not;niedaj¹ce
indefinable;niedaj¹cego
indeterminable;niedaj¹cej
restorative;niedaj¹cy
unforeseeable;niedaj¹cych
indelibly;niedaj¹cym
noncontrolling interests;niedaj¹cymi
the near;niedaleka
the near;niedalek¹
near;niedaleki
the nearby;niedalekich
the nearby;niedalekie
the nearby;niedalekiego
the near;niedalekiej
the nearby;niedalekim
near;niedaleko
Nied;niedana
Nied;niedan¹
is not given;niedane
Nied;niedani
Nied;niedanie
Nied;niedany
non-free;niedarmowa
non-free;niedarmow¹
non-free;niedarmowe
non-free;niedarmowej
non-free;niedarmowym
recently;niedawna
recent;niedawn¹
recent;niedawne
recent;niedawnego
recent;niedawnej
recent;niedawnemu
Recent;niedawni
recently;niedawno
recent;niedawny
recent;niedawnych
recent;niedawnym
recent;niedawnymi
uncaring;niedbaj¹ca
uncaring;niedbaj¹c¹
thoughtless;niedbaj¹ce
not caring;niedbaj¹cego
uncaring;niedbaj¹cej
carelessly;niedbale
heedless;niedbali
careless;niedba³a
careless;niedba³¹
carelessly;niedba³e
careless;niedba³ego
careless;niedba³ej
careless;niedba³emu
carelessly;niedba³ê
careless;niedba³y
careless;niedba³ych
careless;niedba³ym
careless;niedba³ymi
neglect;niedbania
neglect;niedbanie
neglect;niedbaniem
wobble;niedecyduj¹ca
wobble;niedecyduj¹c¹
wobble;niedecyduj¹ce
wobble;niedecyduj¹cej
not deciding;niedecyduj¹cy
Unreported;niedeklarowana
Unreported;niedeklarowan¹
Unreported;niedeklarowane
undeclared;niedeklarowanej
Unreported;niedeklarowani
Unreported;niedeklarowanie
Unreported;niedeklarowany
unlabelled;niedeklarowanych
undeclared;niedeklarowanym
undeclared;niedeklarowañ
non-decorated;niedekorowanych
indelicate;niedelikatna
indelicate;niedelikatn¹
indelicate;niedelikatne
other rough;niedelikatnego
indelicate;niedelikatnej
indelicate;niedelikatni
indelicate;niedelikatnie
indelicate;niedelikatny
undemocratic;niedemokratyczna
undemocratic;niedemokratyczn¹
undemocratic;niedemokratyczne
undemocratic;niedemokratycznego
undemocratic;niedemokratycznej
undemocratic;niedemokratycznemu
undemocratic;niedemokratyczni
undemocratically;niedemokratycznie
undemocratic;niedemokratyczny
undemocratic;niedemokratycznych
undemocratic;niedemokratycznym
undemocratic;niedemokratycznymi
Nied;niedêcie
not a long;nied³uga
not very long;nied³ug¹
short;nied³ugi
not long;nied³ugie
too-distant;nied³ugiego
the near;nied³ugiej
short;nied³ugim
soon;nied³ugo
non-puffed;niedmuchana
non-puffed;niedmuchan¹
non-puffed;niedmuchane
non-puffed;niedmuchanej
non-puffed;niedmuchani
non-puffed;niedmuchanie
non-puffed;niedmuchany
non-puffed;niedmuchañ
shortages;niedoborach
shortages;niedoborami
deficiency;niedoborem
shortages;niedoborom
shortfall;niedoborowi
shortages;niedoborów
shortage;niedoboru
shortages;niedobory
shortage;niedoborze
deficiency;niedobór
bad;niedobra
not good;niedobr¹
not good;niedobre
bad;niedobrego
discordant;niedobrej
involuntary;niedobrowolna
involuntary;niedobrowoln¹
involuntary;niedobrowolne
involuntary;niedobrowolnego
involuntary;niedobrowolnej
involuntarily;niedobrowolni
involuntarily;niedobrowolnie
involuntary;niedobrowolny
involuntary;niedobrowolnych
involuntary;niedobrowolnym
involuntary;niedobrowolnymi
bad;niedobry
unkind;niedobrych
a bad;niedobrym
not good;niedobrze
unkind;niedobrzy
underestimating;niedoceniaj¹ca
underestimating;niedoceniaj¹c¹
underestimating;niedoceniaj¹ce
underestimating;niedoceniaj¹cej
underestimated;niedoceniana
underappreciated;niedocenian¹
underestimated;niedoceniane
undervalued;niedocenianego
underestimated;niedocenianej
unappreciated;niedoceniani
underestimation;niedoceniania
underestimation;niedocenianie
underestimation;niedocenianiem
underestimation;niedocenianiu
underestimated;niedoceniany
underrated;niedocenianych
underrated;niedocenianym
underestimated;niedocenianymi
underestimated;niedoceniañ
not reaching;niedochodz¹ca
not reaching;niedochodz¹c¹
not reaching;niedochodz¹ce
not reaching;niedochodz¹cej
not reaching;niedocierana
not reaching;niedocieran¹
not reaching;niedocierane
not reaching;niedocierani
not reaching;niedocieranie
not reaching;niedocierany
not added;niedodana
not added;niedodan¹
not added;niedodane
not added;niedodani
not adding;niedodania
failing to add;niedodanie
not adding;niedodaniem
not added;niedodany
nonpositive;niedodatni
not positive;niedodatnia
non-positive;niedodatni¹
non-positive;niedodatnich
non-positive;niedodatnie
not positive;niedodatniej
a non-positive;niedodatnio
not to include;niedodawana
not to include;niedodawan¹
not to include;niedodawane
not to include;niedodawani
exclude your;niedodawania
not to include;niedodawanie
exclude your;niedodawaniem
not to include;niedodawany
are not added;niedodawanych
inconvenient;niedogodna
inconvenient;niedogodn¹
inconvenient;niedogodne
inconvenient;niedogodnego
inconvenient;niedogodnej
inconveniently;niedogodni
inconveniently;niedogodnie
inconvenient;niedogodny
unfavorable;niedogodnych
inconvenient;niedogodnym
immature;niedojenie
immature;niedojrzale
immature;niedojrzali
immature;niedojrza³a
immature;niedojrza³¹
immature;niedojrza³e
immature;niedojrza³ego
immature;niedojrza³ej
immature;niedojrza³emu
immature;niedojrza³y
immature;niedojrza³ych
immature;niedojrza³ym
immature;niedojrza³ymi
unripe;niedojrzana
unripe;niedojrzan¹
unripe;niedojrzane
unripe;niedojrzani
unripe;niedojrzany
unripe;niedojrzenie
unripened;niedojrzewaj¹ca
unripened;niedojrzewaj¹c¹
unripened;niedojrzewaj¹ce
unripened;niedojrzewaj¹cej
unripened;niedojrzewaj¹cy
unripened;niedojrzewaj¹cym
of the failure;niedojœcia
of the failure;niedojœcie
of the failure;niedojœciem
inaccurate;niedok³adna
inaccurate;niedok³adn¹
inaccurate;niedok³adne
inaccurate;niedok³adnego
inaccurate;niedok³adnej
INCOMPLETE;niedok³adni
not exactly;niedok³adnie
inaccurate;niedok³adny
inaccurate;niedok³adnych
inaccurate;niedok³adnym
inaccurate;niedok³adnymi
imperfect;niedokonana
imperfect;niedokonan¹
imperfective;niedokonane
imperfective;niedokonanego
imperfect;niedokonanej
imperfect;niedokonani
failure;niedokonania
failure;niedokonanie
failure to;niedokonaniem
imperfect;niedokonany
imperfective;niedokonanych
imperfect;niedokonanym
imperfect;niedokonañ
not providing;niedokonuj¹cych
not to make;niedokonywana
not to make;niedokonywan¹
not to make;niedokonywane
not to make;niedokonywani
refrain from;niedokonywania
not to make;niedokonywanie
refrain from;niedokonywaniem
not to make;niedokonywany
it could not;niedo³¹czana
it could not;niedo³¹czan¹
it could not;niedo³¹czane
it could not;niedo³¹czani
it could not;niedo³¹czanie
it could not;niedo³¹czany
not accompanied;niedo³¹czeni
not accompanied;niedo³¹czenia
it could not;niedo³¹czenie
not accompanied;niedo³¹czeniem
not supplied;niedo³¹czona
unattached;niedo³¹czon¹
Not Included;niedo³¹czone
not supplied;niedo³¹czonego
not attached;niedo³¹czonej
not supplied;niedo³¹czony
unattached;niedo³¹czonych
is affixed;niedo³¹czonym
unattached;niedo³¹czonymi
nondominant;niedominuj¹ca
non-dominant;niedominuj¹c¹
non-dominant;niedominuj¹ce
nondominant;niedominuj¹cej
non-incumbent;niedominuj¹cy
non-dominant;niedominuj¹cych
nondominant;niedominuj¹cym
non-domestic;niedomowa
non-domestic;niedomow¹
non-domestic;niedomowe
non-domestic;niedomowego
non-domestic;niedomowej
understatement;niedomowi
non-domestic;niedomowych
aborted;niedonoszony
failure;niedope³nieni
failure;niedope³nienia
failure;niedope³nienie
failure to;niedope³nieniem
representatives violate;niedope³nieniu
The omitted;niedope³niona
underfilled;niedope³nion¹
underfilled;niedope³nione
not consummated;niedope³nionego
underfilled;niedope³nionej
underflow;niedope³niony
for missed;niedope³nionych
Failure;niedoprowadzana
Failure;niedoprowadzan¹
Failure;niedoprowadzane
Failure;niedoprowadzani
Failure;niedoprowadzanie
Failure;niedoprowadzany
Failure;niedoprowadzenie
for preventing;niedopuszczaj¹ca
for preventing;niedopuszczaj¹c¹
not involve;niedopuszczaj¹ce
during which no;niedopuszczaj¹cego
not permitting;niedopuszczaj¹cej
not permitting;niedopuszczaj¹cych
be unacceptable;niedopuszczaj¹cym
unacceptable;niedopuszczalna
unacceptable;niedopuszczaln¹
unacceptable;niedopuszczalne
unacceptable;niedopuszczalnego
unacceptable;niedopuszczalnej
unacceptable;niedopuszczalnemu
unacceptably;niedopuszczalni
unacceptably;niedopuszczalnie
inadmissible;niedopuszczalny
unacceptable;niedopuszczalnych
unacceptable;niedopuszczalnym
unacceptable;niedopuszczalnymi
exclusion;niedopuszczana
exclusion;niedopuszczan¹
exclusion;niedopuszczane
exclusion;niedopuszczani
not admitting;niedopuszczania
preventing;niedopuszczanie
prevent possible;niedopuszczaniem
exclusion;niedopuszczany
barring;niedopuszczanych
not admitted;niedopuszczeni
prevent;niedopuszczenia
exclusion;niedopuszczenie
non-admission;niedopuszczeniem
not to allow;niedopuszczeniu
not admitted;niedopuszczona
not authorized;niedopuszczon¹
not admitted;niedopuszczone
an unauthorized;niedopuszczonego
not released;niedopuszczonej
not authorized;niedopuszczony
unauthorized;niedopuszczonych
not authorized;niedopuszczonym
unapproved;niedopuszczonymi
adolescent;niedoros³a
adolescent;niedoros³¹
adolescent;niedoros³e
adolescent;niedoros³ej
immature;niedoros³y
immature;niedoros³ych
immature;niedoros³ym
under-aged;niedoros³ymi
adolescent;niedoroœle
immature;niedoroœli
preposterous;niedorzeczna
ridiculous;niedorzeczn¹
preposterous;niedorzeczne
ridiculous;niedorzecznego
ludicrous;niedorzecznej
ridiculous;niedorzeczni
absurdly;niedorzecznie
absurdity;niedorzecznoœci
absurdities;niedorzecznoœciami
absurdity;niedorzecznoœci¹
absurdity;niedorzecznoœæ
ridiculous;niedorzeczny
ridiculous;niedorzecznych
foolish;niedorzecznym
preposterous;niedorzecznymi
imperfectly;niedoskonale
imperfect;niedoskonali
imperfect;niedoskona³a
imperfect;niedoskona³¹
imperfectly;niedoskona³e
imperfect;niedoskona³ego
imperfect;niedoskona³ej
imperfect;niedoskona³emu
imperfect;niedoskona³y
imperfect;niedoskona³ych
imperfect;niedoskona³ym
imperfect;niedoskona³ymi
not literally;niedos³ownie
non-literal;niedos³ownych
unavailable;niedostana
unavailable;niedostan¹
I will not get that;niedostane
unavailable;niedostani
Will not get;niedostanie
unavailable;niedostany
Non-delivering;niedostarczaj¹ca
Non-delivering;niedostarczaj¹c¹
Non-delivering;niedostarczaj¹ce
of the non;niedostarczaj¹cego
Non-delivering;niedostarczaj¹cej
not supplying;niedostarczaj¹cemu
that the non;niedostarczaj¹cy
not supplied;niedostarczana
Failure to;niedostarczan¹
Not Provided;niedostarczane
Failure to;niedostarczani
not to produce;niedostarczania
failure to provide;niedostarczanie
not to produce;niedostarczaniem
not supplied;niedostarczany
not reported;niedostarczanych
not ship;niedostarczanymi
failure;niedostarczeni
failure;niedostarczenia
failure;niedostarczenie
failure to deliver;niedostarczeniem
NDR;niedostarczeniu
undeliverable;niedostarczona
undelivered;niedostarczon¹
undeliverable;niedostarczone
undelivered;niedostarczonego
undelivered;niedostarczonej
undelivered;niedostarczony
undelivered;niedostarczonych
not supplied;niedostarczonym
not provided;niedostarczonymi
insufficient;niedostateczna
inadequate;niedostateczn¹
inadequate;niedostateczne
inadequate;niedostatecznego
inadequate;niedostatecznej
any inadequate;niedostatecznemu
insufficiently;niedostateczni
insufficiently;niedostatecznie
insufficient;niedostateczny
inadequate;niedostatecznych
inadequate;niedostatecznym
inadequate;niedostatecznymi
scarcity;niedostatek
hardships;niedostatkach
shortcomings;niedostatkami
shortages;niedostatki
shortage;niedostatkiem
shortcomings;niedostatkom
scarcity;niedostatkowi
shortcomings;niedostatków
shortage;niedostatku
available;niedostêpna
unapproachable;niedostêpn¹
unavailable;niedostêpne
inaccessible;niedostêpnego
inaccessible;niedostêpnej
unapproachable;niedostêpni
inaccessible;niedostêpnie
inaccessible;niedostêpny
inaccessible;niedostêpnych
inaccessible;niedostêpnym
inaccessible;niedostêpnymi
unsuited;niedostosowana
ill-suited;niedostosowan¹
inadequate;niedostosowane
maladjusted;niedostosowanego
maladjusted;niedostosowanej
maladjustment;niedostosowani
maladjustment;niedostosowania
maladjustment;niedostosowanie
maladjustment;niedostosowaniem
maladaptations;niedostosowaniom
maladjustment;niedostosowaniu
maladjusted;niedostosowany
maladjusted;niedostosowanych
maladjusted;niedostosowanym
were unsuitable;niedostosowanymi
maladjustments;niedostosowañ
they do not see;niedostrzegaj¹cy
imperceptible;niedostrzegalna
imperceptible;niedostrzegaln¹
imperceptible;niedostrzegalne
imperceptible;niedostrzegalnego
imperceptible;niedostrzegalnej
imperceptibly;niedostrzegalni
imperceptibly;niedostrzegalnie
imperceptible;niedostrzegalny
imperceptible;niedostrzegalnych
imperceptibly;niedostrzegalnym
unseen;niedostrzegalnymi
unnoticed;niedostrzegana
The failure;niedostrzegan¹
overlooked;niedostrzegane
not seen by;niedostrzeganego
The failure;niedostrzegani
invisibility;niedostrzegania
not recognizing;niedostrzeganie
failure to notice;niedostrzeganiem
systematically overlooking;niedostrzeganiu
unnoticed;niedostrzegany
unnoticed;niedostrzeganych
blindness';niedostrze¿eni
blindness';niedostrze¿enia
failure to see;niedostrze¿enie
blindness';niedostrze¿eniem
unnoticed;niedostrze¿ona
unnoticed;niedostrze¿on¹
unnoticed;niedostrze¿one
unnoticed;niedostrze¿onej
unnoticed;niedostrze¿ony
unseen;niedostrze¿onych
inexperience;niedoœwiadczana
inexperience;niedoœwiadczan¹
inexperience;niedoœwiadczane
inexperience;niedoœwiadczani
inexperience;niedoœwiadczanie
inexperience;niedoœwiadczany
inexperienced;niedoœwiadczeni
inexperience;niedoœwiadczenia
inexperience;niedoœwiadczenie
inexperience;niedoœwiadczeniem
inexperience;niedoœwiadczeniu
inexperienced;niedoœwiadczona
inexperienced;niedoœwiadczon¹
inexperienced;niedoœwiadczone
inexperienced;niedoœwiadczonego
inexperienced;niedoœwiadczonej
inexperienced;niedoœwiadczonemu
inexperienced;niedoœwiadczony
inexperienced;niedoœwiadczonych
inexperienced;niedoœwiadczonym
inexperienced;niedoœwiadczonymi
do not touch;niedotkniêci
do not touch;niedotkniêcia
do not touch;niedotkniêciem
unaffected;niedotkniêta
untouched;niedotkniêt¹
unaffected;niedotkniête
not affected;niedotkniêtej
untouched;niedotkniêty
unaffected;niedotkniêtych
unaffected;niedotkniêtym
unaffected;niedotkniêtymi
not related;niedotycz¹ca
does not comprise;niedotycz¹c¹
not related;niedotycz¹ce
not involving;niedotycz¹cego
related object;niedotycz¹cej
not related;niedotycz¹cych
not relevant;niedotycz¹cymi
not touching;niedotykaj¹ca
not touching;niedotykaj¹c¹
not touching;niedotykaj¹ce
not touching;niedotykaj¹cej
not touching;niedotykaj¹cymi
not to touch;niedotykana
not to touch;niedotykan¹
unhanded;niedotykane
not to touch;niedotykani
not to touch;niedotykanie
not to touch;niedotykany
not an allowable;niedozwolenie
not allowed;niedozwolona
illegal;niedozwolon¹
prohibited;niedozwolone
unauthorized;niedozwolonego
unauthorized;niedozwolonej
unauthorized;niedozwolonemu
illicit;niedozwolony
unauthorized;niedozwolonych
unauthorized;niedozwolonym
unauthorized;niedozwolonymi
non-dramatic;niedramatycznych
non-irritating;niedra¿ni¹ca
non-irritating;niedra¿ni¹c¹
non-irritant;niedra¿ni¹ce
non-irritating;niedra¿ni¹cego
non-irritating;niedra¿ni¹cej
non-irritating;niedra¿ni¹cy
Bland;niedra¿ni¹cych
non-irritating;niedra¿ni¹cym
non-irritating;niedra¿ni¹cymi
non-tear;niedr¹cego
non-wood;niedrewniana
non-woody;niedrewnian¹
non-wood;niedrewniane
non-wood;niedrewniani
non-wood;niedrewniany
non-wood;niedrewnianych
non-timber;niedrewnianymi
considerable;niedrobny
Affordable;niedrodzy
not expensive;niedroga
not expensive;niedrog¹
inexpensive;niedrogi
inexpensive;niedrogich
cheap;niedrogie
affordable;niedrogiego
inexpensive;niedrogiej
inexpensive;niedrogim
inexpensive;niedrogimi
cheap;niedrogo
non-road;niedrogowa
non-road;niedrogow¹
non-road;niedrogowe
non-road;niedrogowej
non-road;niedrogowych
not printed;niedrukowana
non-printed;niedrukowan¹
unprinted;niedrukowane
unprintable;niedrukowanego
non-printed;niedrukowani
non-printing;niedrukowania
print this;niedrukowanie
not printing;niedrukowaniem
unprintable;niedrukowany
unprinted;niedrukowanych
non-print;niedrukowanym
non-printing;niedrukowanymi
non-printing;niedrukuj¹ca
non-printing;niedrukuj¹c¹
non-printing;niedrukuj¹ce
non-printing;niedrukuj¹cej
non-printing;niedrukuj¹cych
nonspiritual;nieduchowa
nonspirit;nieduchow¹
unspiritual;nieduchowe
unspiritual;nieduchowego
nonspirit;nieduchowej
unspiritual;nieduchowy
nonspirit;nieduchowych
nonspiritual;nieduchowym
only little;nieduzi
small;niedu¿a
a small;niedu¿¹
small;niedu¿e
a small;niedu¿ego
a small;niedu¿ej
not much;niedu¿o
small;niedu¿y
small;niedu¿ych
a small;niedu¿ym
non-dynamic;niedynamiczna
non-dynamic;niedynamiczn¹
non-dynamic;niedynamiczne
non-dynamic;niedynamicznego
non-dynamic;niedynamicznej
non-dynamic;niedynamiczny
non-dynamic;niedynamicznych
non-dynamic;niedynamicznym
undiplomatic;niedyplomatyczna
undiplomatic;niedyplomatyczn¹
undiplomatic;niedyplomatyczne
undiplomatic;niedyplomatycznej
impolitely;niedyplomatyczni
impolitely;niedyplomatycznie
undiplomatic;niedyplomatyczny
non-diplomatic;niedyplomatycznych
Undisputed;niedyskutowana
Undisputed;niedyskutowan¹
Undisputed;niedyskutowane
Undisputed;niedyskutowani
Undisputed;niedyskutowanie
Undisputed;niedyskutowany
indisposed;niedysponowana
indisposed;niedysponowan¹
indisposed;niedysponowane
indisposed;niedysponowanego
