aardvark;mrówkojad
demilitarisation;demilitaryzacja
demilitarised;zdemilitaryzowany
demise;zgon
demised;demised
demises;zgonów
demist;odmgła wianie
demists;demists
demo;próbny
demobilisation;demobilizacja
demobilised;zdemobilizowany
demobs;demobs
democracies;demokracje
democracy;demokracja
democrat;demokrata
democratic;demokratyczny
democratically;demokratycznie
democratisation;demokratyzacja
democratising;demokratyzacji
democrats;demokraci
demodulator;demodulator
demographer;demograf
demographers;demografowie
demographic;demograficzny
demographically;demograficznie
demographics;dane demograficzne
demography;demografia
demolish;zburzyć
demolished;rozbiórki
demolisher;demolisher
demolishes;demolishes
demolishing;burzenie
demolition;rozbiórka
demolitions;rozbiórki
demon;demon
demonic;demoniczny
demonise;demonizować
demonology;demonologia
demons;demony
demonstrable;dający się udowodnić
demonstrably;oczywisty
demonstrate;wykazać
demonstrated;wykazać
demonstrates;demonstruje
demonstrating;demonstrowania
demonstration;demonstracja
demonstrations;demonstracje
demonstrative;wskazujący
demonstratively;demonstracyjnie
demonstratives;demonstratives
demonstrator;demonstrator
demonstrators;demonstranci
demoralisation;demoralizacja
demoralise;zdemoralizować
demoralised;zdemoralizowani
demoralising;gorszący
demote;zdegradować
demoted;zdegradowany
demotes;degraduje
demotic;demotyczny
demotion;degradacja
demount;zdemontować
demountable;podzielny
demounted;demontowany
demounting;demontaż
demur;obiekcja
demure;poważny
demurely;skromnie
demurred;demurred
demurring;demurring
demurs;demurs
demystification;demistyfikacja
demystify;wyjaśnić
demystifying;demystifying
den;legowisko
denationalisation;denacjonalizacji
denatured;denaturowane
denaturing;denaturacyjną
dendrites;dendryty
dendritic;dendrytycznych
dendrochronological;dendrochronologiczna
dendrochronology;dendrochronologia
deniable;zakwestionowania
denial;odmowa
denials;zaprzeczenia
denied;odmówiono
denier;denier
deniers;negujących
denies;zaprzecza
denigrate;oczerniać
denigrated;oczerniany
denigrates;oczernia
denigrating;dyskredytujące
denigration;oczernienie
denigrations;denigrations
denim;dżinsowa
denims;denim
denizen;mieszkaniec
denizens;mieszkańcy
denmark;dania
denominated;denominowane
denomination;określenie
denominational;wyznaniowe
denominations;denominacje
denominator;mianownik
denominators;mianowniki
denotation;denotacja
denotational;denotational
denotations;denotacje
denote;oznaczać
denoted;uściślenia
denotes;oznacza
denoting;oznaczając
denouement;rozwiązanie
denounce;potępiać
denounced;wypowiedziany
denouncements;denouncements
denounces;oskarża
denouncing;wypowiadająca
dens;dens
dense;gęsty
densely;gęsto
denseness;denseness
denser;gęstsze
densest;najgęstsze
densities;gęstości
densitometry;densytometria
density;gęstość
dent;wygięcie
dental;dentystyczny
dented;dented
dentin;zębiny
dentine;zębina
denting;denting
dentist;dentysta
dentistry;stomatologia
dentists;dentystów
dentition;uzębienie
dents;wgniecenia
denture;proteza
dentures;protezy
denudation;obnażenie
denude;obnażać
denuded;obnażonego
denudes;denudes
denunciation;wypowiedzenie
denunciations;wypowiedzeniach
denver;denver
deny;zaprzeczać
denying;zaprzeczając
deodorant;dezodorant
deodorants;dezodoranty
deodorised;zapachu
depart;odjazd
departed;odszedł
departer;departer
departing;odchodząc
department;departament
departmental;oddziałowy
departmentally;departmentally
departments;działy
departs;odbiega
departure;wyjazd
departures;odloty
depend;zależeć
dependability;rzetelność
dependable;niezawodny
dependant;zależny
dependants;ludzie
depended;zależała
dependence;zależność
dependencies;zależności
dependency;zależność
dependent;zależny
depending;w zależności
depends;zależy
depersonalisation;depersonalizacja
depersonalising;depersonalising
depict;przedstawiać
depicted;przedstawiono
depicting;przedstawiających
depiction;opis
depictions;depictions
depicts;przedstawia
deplete;wyczerpać
depleted;wyczerpany
depleting;ozonowej
depletion;wyczerpanie
deplorable;opłakany
deplorably;żałośnie
deplore;ubolewać
deplored;ubolewał
deplores;ubolewa
deploring;ubolewając
deploy;rozmieścić
deployed;rozmieszczony
deploying;wdrażanie
deployment;rozlokowanie
deployments;wdrożenia
deploys;wdraża
depolarisation;depolaryzacji
depolarisations;depolarisations
depoliticisation;odpolitycznienia
deponent;świadek
depopulated;wyludniłyby
depopulation;wyludnienie
deport;deportować
deportation;deportacja
deportations;deportacje
deported;deportowany
deportee;zesłaniec
deportees;deportowani
deporting;wywożąc
deportment;maniery
deports;deports
depose;zeznać że
deposed;obalony
deposing;obalenie
deposit;kaucja
depositary;depozytariusz
deposited;zdeponowane
depositing;deponowanie
deposition;zeznanie
depositional;depozycyjny
depositions;zeznania
depositories;depozyty
depositors;deponenci
depository;magazyn towarów
deposits;depozyty
depot;magazyn
depots;składy
deprave;zdeprawować
depraved;zdeprawowany
depraves;deprawuje
depraving;deprawowanie
depravity;deprawacja
deprecate;potępiać
deprecated;nieaktualne
deprecates;deprecates
deprecating;deprecjację
deprecatingly;dezaprobatą
deprecation;dezaprobata
deprecations;deprecations
deprecatory;potępiający
depreciate;deprecjonować
depreciated;zamortyzowanego
depreciating;lekceważący
depreciation;deprecjacja
depredation;łupienie
depredations;grabież
depress;deprymować
depressant;depresyjne
depressants;depresyjne
depressed;przygnębiony
depresses;przygnębia
depressing;przygnębiający
depressingly;przygnębiająco
depression;depresja
depressions;depresje
depressive;depresyjne
depressives;przygnębionymi
deprivation;pozbawienie
deprivations;niedostatki
deprive;pozbawiać
deprived;pozbawieni
deprives;pozbawia
depriving;pozbawienie
depth;głębokość
depths;otchłań
deputation;delegacja
deputations;deputacje
depute;delegować
deputed;deputed
deputes;deputes
deputies;deputowani
deputise;zastąpić
deputised;zastępował
deputises;zastępuje,
deputising;zastępstwa
deputy;zastępca
derail;wykoleić
derailed;wykolejony
derailing;wykolejenia
derailment;wykolejenie
derails;derails
derange;doprowadzić do obłędu
deranged;obłąkany
derangement;dezorganizacja
derate;należy obniżyć
derated;obniżany
derates;ograniczenie wartość znamionowego
derbies;derby
derby;derby
deregulate;deregulacji
deregulated;deregulacji
deregulating;deregulację
deregulation;deregulacja
derelict;opuszczony
dereliction;zaniedbanie
derelictions;zaniechań
deride;szydzić
derided;wyśmiewali
deriders;deriders
derides;kpi
deriding;wyśmiewania
derision;drwina
derisive;szyderczy
derisively;szyderczo
derisory;kpiarski
derivable;wyprowadzić
derivation;pochodzenie
derivations;derywacje
derivative;pochodna
derivatively;wtórnie
derivatives;pochodne
derive;czerpać
derived;pochodny
derives;wyprowadza
deriving;pochodzący
dermal;skórny
dermatitis;zapalenie skóry
dermatological;dermatologiczny
dermatologist;dermatolog
dermatologists;dermatolodzy
dermatology;dermatologia
dermic;skórny
dermis;skóra właściwa
derogate;derogować
derogation;derogacja
derogations;odstępstwa
derogatory;uwłaczający
derrick;bom
dervishes;derwisze
desalination;odsolenie
desalt;odsolono
desaturated;uwypuklają
descant;melodia
descend;schodzić
descendant;potomek
descendants;potomków
descended;zstąpił
descendent;potomek
descender;descender
descenders;zjazdowe
descending;malejąco
descends;opada
descent;zejście
descents;zjazdy
describable;opisania
describe;opisać
described;opisane
describer;describer
describers;describers
describes;opisuje
describing;opisując
description;opis
descriptions;opisy
descriptive;opisowy
descriptively;opisowo
descriptiveness;opisowy
descriptivism;deskryptywizmu
descriptor;deskryptor
descriptors;deskryptory
desecrate;zbezcześcić
desecrated;zbezczeszczony
desecrates;desecrates
desecrating;bezczeszczenie
desecration;profanacja
desegregation;desegregacja
deselected;cofany
desensitising;odczulanie
desert;pustynia
deserted;opustoszały
deserter;dezerter
deserters;dezerterzy
desertification;pustynnienie
deserting;opuszczając
desertion;dezercja
desertions;dezercji
deserts;pustynie
deserve;zasłużyć
deserved;zasłużony
deservedly;zasłużenie
deserves;zasługuje
deserving;godny
desiccated;wiórki
desiccation;osuszanie
desiccator;eksykator
desiderata;desiderata
desideratum;dezyderat
design;projekt
designable;do zaprojektowania
designate;wyznaczyć
designated;wyznaczony
designates;desygnaty
designating;wyznaczający
designation;przeznaczenie
designational;designational
designations;oznaczenia
designator;oznacznik
designators;oznaczenia
designed;zaprojektowany
designedly;celowo
designer;projektant
designers;projektanci
designing;projektowanie
designs;wzory
desirabilia;desirabilia
desirability;celowość
desirable;pożądany
desirableness;desirableness
desirably;korzystnie
desire;pragnienie
desired;pożądany
desires;pragnienia
desiring;pragnąc
desirous;pragnący
desist;odstąpić
desisted;odstąpił
desisting;zaniechaniu
desk;biurko
deskilling;ich deskilling
desks;biurka
desktop;pulpit
desktops;pulpity
desolate;opuszczony
desolated;desolated
desolating;spustoszenia
desolation;spustoszenie
desorption;desorpcji
despair;rozpacz
despaired;zrozpaczeni
despairing;zdesperowany
despairingly;rozpaczą
despairs;rozpacza
despatch;wysyłka
despatched;wysłany
despatches;depesze
despatching;dopuszczenia
desperado;desperat
desperate;zdesperowany
desperately;desperacko
desperation;desperacja
despicable;podły
despicably;nikczemnie
despisal;despisal
despise;gardzić
despised;pogardzany
despises;gardzi
despising;gardząc
despite;pomimo
despoil;profanować
despoiled;despoiled
despoiling;despoiling
despond;zasępiać się
despondency;przygnębienie
despondent;przygnębiony
despondently;despondently
despot;despota
despotic;despotyczny
despotism;despotyzm
despots;despoci
dessert;deser
desserts;desery
dessicated;dessicated
dessication;przesuszenia
destabilisation;destabilizacja
destabilise;destabilizować
destabilised;destabilizacji
destabilising;destabilizujące
destination;miejsce docelowe
destinations;cele podróży
destine;przeznaczyć
destined;przeznaczone
destinies;losy
destiny;przeznaczenie
destitute;w nędzy
destitution;nędza
destroy;zniszczyć
destroyable;destroyable
destroyed;zniszczony
destroyer;niszczyciel
destroyers;niszczyciele
destroying;zniszczenie
destroys;niszczy
destruct;destruct
destruction;zniszczenie
destructive;destrukcyjny
destructively;destrukcyjnie
destructiveness;niszczycielstwo
desuetude;nieużywany
desultorily;bezładnie
desultoriness;desultoriness
desultory;chaotyczny
detach;odłączyć
detachable;zdejmowany
detached;oderwany
detaches;odłącza
detaching;odłączaniem
detachment;oderwanie
detachments;oddziały
detail;szczegół
detailed;szczegółowy
detailing;wyszczególnieniem
details;detale
detain;zatrzymać
detained;zatrzymany
detainee;aresztowany
detainees;zatrzymani
detainer;detainer
detaining;mocarstwo zatrzymujące
detains;przetrzymuje
detect;wykryć
detectability;wykrywalność
detectable;wykrywalne
detectably;wykrywalny
detected;wykryto
detecting;wykrywanie
detection;wykrycie
detections;wykrycia
detective;detektyw
detectives;detektywi
detector;detektor
detectors;detektory
detects;wykrywa
detent;samoblokujący
detente;odprężenie
detention;aresztowanie
detentions;zatrzymania
deter;powstrzymać
detergent;detergent
detergents;detergenty
deteriorate;pogarszać się
deteriorated;pogarszony
deteriorates;pogarsza
deteriorating;pogarszająca
deterioration;pogorszenie
determinable;ustalenia
determinacy;gry nieskończone
determinant;wyznacznik
determinants;determinanty
determinate;zdeterminowanym
determinately;determinately
determination;determinacja
determinations;oznaczenia
determinative;rozstrzygającą
determine;określać
determined;ustalona
determinedly;zdecydowanie
determiner;determinantem
determines;określa,
determining;określaniu
determinism;determinizm
determinist;deterministą
deterministic;deterministyczny
deterministically;deterministycznie
deterred;zahamowane
deterrence;odstraszenie
deterrent;odstraszający
deterrents;odstraszające
deterring;powstrzymujące
deters;deters
detest;brzydzić
detestable;odrażający
detestably;detestably
detestation;wstręt
detested;znosił
detester;detester
detesters;detesters
detesting;wyrzekając
detests;detests
dethrone;zdetronizować
dethroned;dethroned
detonate;detonować
detonated;zdetonowana
detonates;detonacji
detonating;detonujący
detonation;detonacja
detonations;detonacje
detonator;detonator
detonators;detonatory
detour;objazd
detoured;detoured
detours;objazdy
detox;detox
detoxification;detoksykacja
detoxify;usunąć środki trujące
detract;pomniejszać
detracted;pomniejszał
detracting;detracting
detraction;obmowa
detractor;detractor
detractors;krytycy
detracts;umniejsza
detriment;uszczerbek
detrimental;szkodliwy
detrimentally;szkodliwy
detrital;detrytyczny
detritus;detritus
detroit;detroit
deuce;licho
deuced;diabelski
deuces;deuces
deuterium;deuteru
deuteron;deuteron
devaluation;dewaluacja
devaluations;dewaluacji
devalue;zdewaluować
devalued;zdewaluowało
devalues;dewaluuje
devaluing;dewaluacji
devastate;niszczyć
devastated;zdruzgotany
devastating;niszczycielski
devastatingly;porażająco
devastation;dewastacja
develop;rozwijać
developed;rozwinięty
developer;deweloper
developers;deweloperzy
developing;rozwój
development;rozwój
developmental;rozwojowy
developmentally;ewolucyjnie
developments;rozwój
develops;rozwija się
deviance;dewiacja
deviancy;deviancy
deviant;zboczeniec
deviants;dewiantów
deviate;zbaczać
deviated;wypaczone
deviates;odchyla
deviating;odchylonym
deviation;odchylenie
deviations;odchylenia
device;urządzenie
devices;urządzenia
devil;diabeł
devilish;diabelski
devilishly;diabelnie
devilled;devilled
devilment;łobuzerstwo
devilry;diabelstwo
devils;diabły
devious;przebiegły
deviously;deviously
deviousness;przebiegłość
devisal;devisal
devise;wymyślać
devised;opracowana
deviser;wynalazca
devises;urzšdzenia
devising;opracowanie
devoice;devoice
devoid;pozbawiony czegoś
devoir;devoir
devolution;degeneracja
devolve;zrzucać coś z siebie
devolved;zdecentralizowane
devolving;przekazanymi
devote;poświęcać
devoted;oddany
devotedly;oddaniem
devotedness;oddaniem
devotee;wielbiciel
devotees;wielbiciele
devotes;poświęca
devoting;poświęcając
devotion;poświęcenie
devotional;nabożny
devotions;modlitwy
devour;pożerać
devoured;devoured
devourer;pożeracz
devourers;pożeracze
devouring;trawiący
devours;trawi
devout;pobożny
devoutly;pobożnie
devoutness;pobożność
dew;rosa
dewdrop;dewdrop
dewdrops;krople rosy
dews;rosy
dewy;zroszony
dexterity;zręczność
dexterous;zręczny
dexterously;zręcznie
dextral;prawoskrętna
dextrose;glukoza
dextrous;zręczny
dextrously;dextrously
dhow;dau
diabetes;cukrzyca
diabetic;cukrzycowy
diabetics;diabetyków
diabolic;diabelski
diabolical;diaboliczny
diabolically;diabolically
diabolism;diabelskość
diachronic;diachroniczny
diaconal;diakonów
diacritical;diakrytyczny
diacriticals;diakrytycznych
diacritics;diacritics
diadem;diadem
diadems;diademów
diagnosable;diagnosable
diagnose;rozpoznać chorobę
diagnosed;zdiagnozowana
diagnoses;diagnozy
diagnosing;diagnozowanie
diagnosis;diagnoza
diagnostic;diagnostyczny
diagnostically;diagnostycznie
diagnostician;diagnosta
diagnostics;diagnostyka
diagonal;przekątna
diagonalise;diagonalise
diagonalised;diagonalised
diagonalises;diagonalises
diagonalising;diagonalising
diagonally;po przekątnej
diagonals;przekątne
diagram;diagram
diagrammatic;wykreślny
diagrammatically;schematycznie
diagrams;schematy
dial;wybierz
dialect;dialekt
dialectal;dialektyczny
dialectic;dialektyka
dialectical;dialektyczny
dialectically;dialektycznie
dialectics;dialektyka
dialects;dialekty
dialing;wybieranie
dialled;wybierany
dialler;dialer
dialling;wybieranie
dialog;dialog
dialogue;dialog
dialogues;dialogi
dials;tarcze
dialysis;dializa
diamante;diamante
diameter;średnica
diameters;średnice
diametric;diametryczny
diametrically;diametralnie
diamond;diament
diamonds;diamenty
diana;diana
diapason;diapazon
diaper;pielucha
diapers;pieluchy
diaphanous;przeźroczysty
diaphragm;membrana
diaphragmatic;przeponowy
diaphragms;membrany
diaries;pamiętniki
diarist;pamiętnikarz
diarrhea;biegunka
diarrhoea;biegunka
diarrhoeal;biegunkowe
diary;dziennik
diaspora;diaspora
diastolic;rozkurczowe
diathermy;diatermia
diatom;okrzemka
diatomic;dwuatomowy
diatoms;okrzemki
diatonic;diatoniczny
diatribe;diatryba
diatribes;diatryby
dice;kostka do gry
diced;pokrojone w kostkę
dices;kości
dicey;ryzykowny
dichloride;dichlorek
dichotomies;dychotomie
dichotomous;dychotomiczny
dichotomy;dychotomia
diciest;diciest
dicing;gra w kości
dickens;licho
dictate;dyktować
dictated;podyktowane
dictates;dyktuje
dictating;nagrania
dictation;dyktando
dictator;dyktator
dictatorial;dyktatorski
dictatorially;dictatorially
dictators;dyktatorzy
dictatorship;dyktatura
dictatorships;dyktatur
diction;dykcja
dictionaries;słowniki
dictionary;słownik
dictions;dictions
dictum;powiedzenie
did;zrobił
didactic;dydaktyczny
didnt;zrobił
die;umierać
died;zmarły
diehard;diehard
diehards;diehards
dielectric;dielektryk
dielectrics;dielektryki
dies;matryce
diesel;diesel
dieselelectric;dieselelectric
diesels;diesle
diet;dieta
dietary;dietetyczny
dieted;dieted
dieter;dieter
dietetic;dietetyczny
dietician;dietetyk
dieticians;dietetyków
dieting;odchudzanie
dietitian;dietetyk
dietitians;dietetycy
diets;diety
differ;różnić się
differed;różnił
difference;różnica
differences;różnice
differencing;różnicowych
different;różne
differentiability;różniczkowalność
differentiable;różniczkowalna
differential;mechanizm różnicowy
differentially;różnie
differentials;różnice
differentiate;rozróżniać
differentiated;zróżnicowane
differentiates;rozróżniać produkty
differentiating;różnicując
differentiation;różnicowanie
differentiations;zróżnicowania
differentiators;wyróżniki
differently;różnie
differing;różniących
differs;różni się
difficult;trudny
difficulties;trudności
difficulty;trudność
diffidence;brak pewności siebie
diffident;niepewny
diffidently;niepewnie
diffract;rozszczepiać światło
diffracted;ugięte
diffracting;dyfrakcji
diffraction;dyfrakcja
diffracts;ugina
diffuse;rozproszony
diffused;rzutowy
diffuser;dyfuzor
diffusers;nawiewniki
diffuses;rozprasza
diffusing;dyfuzji
diffusion;dyfuzja
diffusional;dyfuzyjny
diffusive;dyfuzyjny
diffusivity;dyfuzyjność
dig;kopać
digest;strawić
digested;strawiony
digester;fermentacyjnej
digestible;strawny
digesting;trawienie
digestion;trawienie
digestions;trawienie
digestive;trawienny
digestives;likiery
digests;trawienie
digger;koparka
diggers;koparki
digging;kopanie
diggings;dom
digit;cyfra
digital;cyfrowy
digitalis;naparstnica
digitally;cyfrowo
digitisation;digitalizacja
digitise;digitalizacja
digitised;zdigitalizowane
digitiser;digitizer
digitisers;przetworniki
digitising;digitalizacji
digits;cyfry
dignified;godny
dignify;uczcić
dignifying;godnego
dignitaries;dostojnicy
dignitary;dostojnik
dignities;dostojeństwa
dignity;godność
digraphs;digrafów
digress;błądzić
digressed;odeszły
digressing;digressing
digression;dygresja
digressions;dygresje
digs;mieszkanie
dihedral;dwuścienny
dikes;wały
diktat;dyktat
diktats;stanowią nakazu
dilapidated;zniszczony
dilapidation;ruina
dilatation;dylatacja
dilate;rozszerzać
dilated;rozstrzeniowa
dilates;rozszerza
dilating;dilating
dilation;rozszerzanie się
dilator;rozszerzacz
dilatory;zwlekający
dildo;dildo
dilemma;dylemat
dilemmas;dylematy
dilettante;dyletant
dilettantes;dyletanci
diligence;pracowitość
diligent;pracowity
diligently;pilnie
dill;koper
dilly;dilly
diluent;rozpuszczalnik
dilute;rozcieńczać
diluted;rozcieńczony
diluter;rozcieńczalnik
dilutes;rozrzedza
diluting;rozcieńczanie
dilution;roztwór
dilutions;rozcieńczenia
dim;ciemny
dime;moneta dziesięciocentowa
dimension;wymiar
dimensional;wymiarowy
dimensionality;trójwymiarowość
dimensionally;wymiarowo
dimensioned;zwymiarowane
dimensioning;wymiarowanie
dimensionless;bezwymiarowy
dimensions;wymiary
dimer;dimer
dimers;dimerów
dimes;dimes
diminish;zmniejszać
diminishable;diminishable
diminished;zmniejszona
diminishes;maleje
diminishing;malejący
diminuendo;diminuendo
diminution;zmniejszenie
diminutive;zdrobnienie
diminutives;zdrobnienia
dimly;mętnie
dimmed;przyciemnione
dimmer;opornik
dimmers;ściemniacze
dimmest;najsłabsza
dimming;ściemnianie
dimness;półmrok
dimorphic;dimorficzne
dimorphism;dymorfizm
dimple;dołek na policzku
dimpled;wgłębieniami
dimples;dołeczki
dims;przygasa
dimwit;dimwit
din;hałas
dinar;dynar
dinars;dinarów
dine;jeść obiad
dined;kolację
diner;tania restauracja
diners;diners
dines;dines
ding;ding
dingdong;dingdong
dinged;dinged
dinghies;dinghies
dinghy;łódka
dingier;dingier
dingiest;dingiest
dinginess;obskurność
dingle;dingle
dingo;dingo
dingy;obskurny
dining;jadalnia
dinky;przemiły
dinner;obiad
dinners;obiady
dinosaur;dinozaur
dinosaurs;dinozaury
dint;wgięcie
dints;dints
diocesan;diecezjalny
diocese;diecezja
diode;dioda
diodes;diody
dioptre;dioptria
dioptres;dioptrii
dioxide;dwutlenek
dioxides;dwutlenek
dioxin;dioksyn
dioxins;dioksyny
dip;zanurzać
diphtheria;błonica
diphthong;dyftong
diphthongs;dyftongi
diplexers;zwrotnice
diploid;diploidalne
diploma;dyplom
diplomacy;dyplomacja
diplomas;dyplomy
diplomat;dyplomata
diplomatic;dyplomatyczny
diplomatically;dyplomatycznie
diplomats;dyplomaci
dipolar;dipolowy
dipole;dipol
dipoles;dipole
dipped;zanurzył
dipper;zgłębnik
dipping;zanurzenie
dips;dipów
dipsomania;alkoholizm
dipsomaniac;opój
dipsomaniacs;dipsomaniacs
dipstick;bagnet
dipsticks;paski do
dire;straszny
direct;bezpośredni
directed;skierowany
directing;kierowniczy
direction;kierunek
directional;kierunkowy
directionality;kierunkowość
directionally;kierunkowo
directionless;directionless
directions;kierunki
directive;dyrektywa
directives;dyrektywy
directly;bezpośrednio
directness;bezpośredniość
director;dyrektor
directorate;dyrektoriat
directorates;dyrekcje
directorial;reżyserski
directories;katalogi
directors;dyrektorzy
directorship;funkcji dyrektora
directorships;funkcji dyrektora
directory;informator
directs;kieruje
direly;direly
direness;direness
direst;direst
dirge;lament
dirges;dirges
dirigible;sterowiec
dirigiste;dirigiste
dirt;brud
dirtied;zabrudzone
dirtier;brudniejsze
dirties;brudzi
dirtiest;najbrudniejszych
dirtily;brudno
dirtiness;brud
dirts;zanieczyszczenia związane
dirty;brudny
dirtying;brudząc
disabilities;niepełnosprawność
disability;inwalidztwo
disable;wyłączyć
disabled;niepełnosprawny
disablement;inwalidztwo
disables;wyłącza
disabling;wyłączanie
disabuse;otwierać oczy
disabused;disabused
disadvantage;niekorzyść
disadvantaged;niekorzystnej sytuacji
disadvantageous;niekorzystny
disadvantageously;niekorzystnie
disadvantages;niedogodności
disaffected;zniechęcony
disaffection;niezadowolenie
disaffiliate;disaffiliate
disaffiliated;disaffiliated
disaffiliating;disaffiliating
disaffiliation;disaffiliation
disaggregate;dezagregacji
disaggregated;posegregowane
disaggregation;dezagregacji
disagree;nie zgadzać się
disagreeable;nieprzyjemny
disagreeably;niemile
disagreed;zgadzało
disagreeing;zgadzając
disagreement;niezgoda
disagreements;nieporozumienia
disagrees;zgadza
disallow;zakazać
disallowed;zabroniony
disallowing;zabronienie
disallows;uniemożliwia
disambiguate;disambiguate
disambiguated;ujednoznacznioną
disambiguating;ujednoznaczniania
disambiguation;ujednoznacznienie
disappear;znikać
disappearance;zanik
disappearances;zaginięć
disappeared;zanikły
disappearing;znikający
disappears;znika
disappoint;zawieść
disappointed;rozczarowany
disappointing;niezadowalający
disappointingly;niestety
disappointment;rozczarowanie
disappointments;rozczarowania
disappoints;rozczarowuje
disapprobation;dezaprobata
disapproval;dezaprobata
disapprove;potępiać
disapproved;odrzucona
disapproves;pochwala
disapproving;krzywy
disapprovingly;nieprzychylnie
disarm;rozbrajać
disarmament;rozbrojenie
disarmed;rozbrojony
disarmer;disarmer
disarming;rozbrajający
disarmingly;rozbrajająco
disarms;rozbraja
disarranging;disarranging
disarray;nieład
disarrayed;nieładzie
disassemble;demontować
disassembled;rozmontowany
disassembler;dezasembler
disassembles;demontuje
disassembling;demontażu
disassembly;demontaż
disassociate;odciąć
disassociated;odrębnie
disassociating;rozdzielanie
disassociation;dysocjacji
disaster;katastrofa
disasters;katastrofy
disastrous;fatalny
disastrously;katastrofalnie
disavow;dezawuować
disavowal;wyparcie
disavowed;wypierał
disavowing;zrzeczenie
disband;rozpuszczać
disbanded;rozwiązany
disbanding;rozformowywania
disbandment;rozpadzie
disbands;rozwiązuje
disbars;disbars
disbelief;niedowierzanie
disbelieve;nie dowierzać komuś
disbelieved;uwierzyli
disbeliever;niedowiarek
disbelievers;niewierni
disbelieving;niedowierzaniem
disbelievingly;niedowierzaniem
disburse;wypłacać
disbursed;wydatkowane
disbursement;wydatek
disbursements;wypłaty
disc;dysk
discant;discant
discard;odrzucać
discarded;odrzucone
discarding;odrzuty
discards;odrzuty
discern;rozeznać
discerned;dostrzec
discernible;dostrzegalny
discernibly;dostrzegalnie
discerning;wnikliwy
discernment;wnikliwość
discerns;dostrzega
discharge;rozładować się
discharged;rozładowany
discharges;wyładowania
discharging;rozładowania
disciple;uczeń
disciples;uczniowie
discipleship;uczniostwa
disciplinarian;dyscyplinarny
disciplinarians;disciplinarians
disciplinary;dyscyplinarny
discipline;dyscyplina
disciplined;zdyscyplinowany
disciplines;dyscyplin
disciplining;dyscyplinowanie
disclaim;zrzec się
disclaimed;odrzucone
disclaimer;zrzeczenie się
disclaimers;zastrzeżenia
disclaiming;zrzeczenia
disclaims;zrzeka
disclose;ujawniać
disclosed;ujawnione
discloses;ujawniono
disclosing;ujawniająca
disclosure;ujawnienie
disclosures;ujawnienia
disco;dyskoteka
discography;dyskografia
discolour;odbarwiać
discolouration;przebarwienia
discoloured;odbarwiony
discolours;przebarwia
discomfit;żenować
discomfited;tropu
discomfiture;porażka
discomfort;dyskomfort
discomforting;discomforting
discomforts;dolegliwości
disconcert;peszyć
disconcerted;zażenowany
disconcerting;niepokojące
disconcertingly;niepokojąco
disconnect;rozłączyć się
disconnected;niepowiązany
disconnecting;urządzenie dla rozłączenia
disconnection;odłączenie
disconnections;rozłączenia
disconnects;rozłącza
disconsolate;niepocieszony
disconsolately;niepocieszony
disconsolation;disconsolation
discontent;niezadowolenie
discontented;niezadowolony
discontentedly;niezadowoleniem
discontents;źródło cierpień
discontinuance;zaprzestanie
discontinuation;zaprzestanie
discontinue;zaprzestać
discontinued;przerwane
discontinues;zaprzestaje
discontinuing;zaniechania
discontinuities;nieciągłości
discontinuity;nieciągłość
discontinuous;nieciągły
discontinuously;nieciągły
discord;niezgoda
discordance;niezgodność
discordant;niezgodny
discords;rozdźwięki
discotheque;dyskoteka
discotheques;dyskoteki
discount;zniżka
discountability;discountability
discountable;discountable
discounted;dyskontowane
discounting;dyskontowaniu
discounts;rabaty
discourage;zniechęcać
discouraged;zniechęcony
discouragement;zniechęcenie
discouragements;zniechęcenia
discourages;odradza
discouraging;zniechęcający
discouragingly;zniechęcająco
discourse;rozprawiać
discoursed;rozprawiał
discourses;dyskursy
discoursing;discoursing
discourteous;nieuprzejmy
discourteously;discourteously
discourtesy;nieuprzejmość
discover;odkryć
discoverable;wykrywalne
discovered;odkryty
discoverer;odkrywca
discoverers;odkrywcy
discoveries;odkrycia
discovering;odkrywanie
discovers;odkrywa
discovery;odkrycie
discredit;zdyskredytować
discreditable;niechlubny
discredited;zdyskredytowane
discrediting;dyskredytowanie
discredits;dyskredytuje
discreet;dyskretny
discreetly;dyskretnie
discreetness;dyskrecja
discrepancies;rozbieżności
discrepancy;rozbieżność
discrepant;sprzeczny
discrete;oddzielny
discretely;dyskretnie
discretion;dyskrecja
discretionary;uznaniowy
discriminant;dyskryminacyjna
discriminants;wyróżniki
discriminate;dyskryminować
discriminated;dyskryminowana
discriminates;rozróżnia
discriminating;dyskryminacyjny
discrimination;dyskryminacja
discriminative;dyskryminujący
discriminator;dyskryminator
discriminators;dyskryminatory
discriminatory;dyskryminacyjny
discs;tarcze
discursive;dyskursywny
discursively;urywkowo
discus;dysk
discuss;omawiać
discussable;dyskusyjny
discussed;omówiono
discusses;omówione
discussing;omawiając
discussion;dyskusja
discussions;dyskusje
disdain;pogarda
disdained;wzgardził
disdainful;pogardliwy
disdainfully;lekceważąco
disdaining;gardząc
disease;choroba
diseased;chore
diseases;choroby
disembark;wyokrętować
disembarkation;rozładunek
disembarked;wysiedli
disembarking;zejścia ze statku
disembodied;bezcielesny
disembodiment;rozpuszczenie wojska
disembowel;wypatroszyć
disembowelled;wypatroszony
disembowelment;disembowelment
disembowels;disembowels
disenchanted;rozczarowane
disenchantment;odczarowanie
disenfranchise;disenfranchise
